7zip 26.03-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
alacritty 0.17.0-1
alsa-utils 1.2.16-1
alure 1.2-11
arc-gtk-theme 20221218-2
audacity 1:3.7.9-1
base 3-3
base-devel 1-2
bat 0.26.1-2
bind 9.20.29-1
bluez 5.87-2
bluez-utils 5.87-2
chromium 153.0.8010.52-1
cloc 2.10-1
cmake 4.4.3-2
composer 2.10.3-1
dbeaver 26.2.0-2
dmidecode 3.7-1
dnsmasq 2.93-1
docker 1:29.8.1-1
docker-buildx 0.37.1-1
docker-compose 5.5.1-1
dos2unix 7.5.7-1
dosfstools 4.2-5
efibootmgr 18-4
ex-vi-compat 3-1
eza 0.23.5-2
fd 10.5.0-3
feh 3.13.1-1
ffnvcodec-headers 13.1.15.0-1
filezilla 3.71.1-1
firefox 156.0-1
fish 4.9.3-1
flatpak 1:1.18.2-1
fzf 0.74.4-1
git 2.55.0-1
git-filter-repo 2.47.0-3
github-cli 2.101.0-1
glfw 1:3.5.1-1
glm 1.0.3-1
gnu-free-fonts 20120503-9
gotop 4.2.0-3
grub 2:2.14-1
gst-plugin-pipewire 1:1.6.8-1
gvfs 1.60.3-3
gvim 9.2.1046-1
htop 3.5.3-1
i3-wm 4.25.1-1
i3lock 2.16-1
intel-ucode 20260812-1
iw 6.17-1
jq 1.8.2-1
kanata 1.12.0-1
libdvdcss 1.6.0-1
libpulse 17.0+r98+gb096704c0-1
libreoffice-still 26.2.6-1
libva-nvidia-driver 0.0.18-1
libva-utils 2.24.0-1
libxcrypt-compat 4.5.2-1
linux-firmware 20260916-1
linux-lts 6.18.52-1
linux-lts-headers 6.18.52-1
lshw B.02.20-3
lxappearance 0.6.4-3
mesa-utils 9.0.0-7
meson 1.12.0-1
mpv 1:0.41.0-6
neofetch 7.1.0-2
neovim 0.12.5-1
network-manager-applet 1.36.0-2
networkmanager 1.58.1-1
nodejs 26.9.0-1
noto-fonts 1:2026.09.01-1
npm 12.0.2-1
numix-icon-theme-git 23.12.02.r0.g00f14ad4e-1
nvidia-580xx-dkms 580.142-1
nvidia-580xx-utils 580.142-1
obs-studio 32.2.2-1
obsidian 1.13.7-2
ollama 0.34.2-1
openresolv 3.17.4-1
openvpn 2.7.7-1
pacman-contrib 1.13.1-1
pamixer 1.6-4
papirus-icon-theme 20260801-1
patchelf 0.19.1-1
picom 13-2
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
playerctl 2.4.1-5
polybar 3.7.2-3
python-adblock 0.6.0-5
python-conda 26.1.0-1
python-pip 26.2.1-1
python-pipx 1.15.0-1
python-pywal 3.3.0-11
python-vosk 0.3.50-7
python-xlib 0.33-7
qbittorrent 5.2.3-3
ranger 1.9.4-5
rar 7.23-1
reflector 2023-5
rmlint 2.10.3-7
rofi 2.0.0-1
rofi-greenclip 4.2-3
rsync 3.5.0-1
rtl8821ce-dkms-git 1.0.5.r188.g4e6b887-1
rust 1:1.98.1-1
sd 1.1.0-1
shutter 0.99.7-2
snapd 2.76.2-2
sof-firmware 2025.12.2-1
speedtest-cli 2.1.3-10
spirv-headers 1:1.4.357.0-1
starship 1.26.0-1
stress-ng 0.22.00-1
swappy 1.8.0-1
swaylock-effects 1.8.1-1
timg 1.6.3-2
tmux 3.7_c-1
tree-sitter-cli 0.26.9-1
ttf-dejavu 2.37+18+g9b5d1b2f-8
tumbler 4.20.2-1
ueberzugpp 2.9.10-1
ufw 0.36.2-7
unzip 6.0-23
uv 0.12.17-1
virtualbox 7.2.18-1
virtualbox-guest-iso 7.2.18-1
vlc 3.0.23_2-16
vulkan-headers 1:1.4.357.0-1
vulkan-tools 1.4.357.0-1
wget 1.25.0-6
wireless-regdb 2026.09.03-1
wireplumber 0.5.17-1
wlrobs-hg r75.b8668b4d6d6d-2
woff2-font-awesome 7.3.1-1
wqy-microhei 0.2.0_beta-12
xclip 0.13-6
xcolor 0.5.1-4
xdg-desktop-portal-hyprland 1.4.1-2
xdotool 4.20260303.1-1
xf86-video-vesa 2.6.0-3
xorg-bdftopcf 1.1.2-1
xorg-docs 1.7.3-3
xorg-font-util 1.4.2-1
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-iceauth 1.0.11-1
xorg-mkfontscale 1.2.4-2
xorg-server 21.1.24-1
xorg-server-devel 21.1.24-1
xorg-server-xephyr 21.1.24-1
xorg-server-xnest 21.1.24-1
xorg-sessreg 1.1.4-1
xorg-smproxy 1.0.8-1
xorg-x11perf 1.7.0-1
xorg-xbacklight 1.2.4-1
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.9-1
xorg-xdpyinfo 1.4.0-1
xorg-xdriinfo 1.0.8-1
xorg-xev 1.2.7-1
xorg-xgamma 1.0.8-1
xorg-xhost 1.0.10-1
xorg-xinit 1.4.4-1
xorg-xkbevd 1.1.6-1
xorg-xkbutils 1.0.7-1
xorg-xkill 1.0.7-1
xorg-xlsatoms 1.1.5-1
xorg-xlsclients 1.1.6-1
xorg-xpr 1.2.1-1
xorg-xrandr 1.5.4-1
xorg-xrefresh 1.1.1-1
xorg-xsetroot 1.1.4-1
xorg-xvinfo 1.1.6-1
xorg-xwd 1.0.10-1
xorg-xwininfo 1.1.7-1
xorg-xwud 1.0.8-1
xss-lock 0.4.0-1
yay 13.0.1-1
zip 3.0-14
zram-generator 1.2.1-1
